dias_descanso_eq1,dias_descanso_eq2,racha_eq1,racha_eq2,victorias_eq1_vs_eq2,victorias_eq2_vs_eq1,delta_rating_of,delta_rating_def,delta_margen_victoria,delta_simple_rating,delta_ws_total,delta_racha,puntos_eq1,puntos_eq2,asistencias_eq1,asistencias_eq2,minutos_eq1,minutos_eq2,pct_tiros_eq1,pct_tiros_eq2,pct_triples_eq1,pct_triples_eq2,pct_libres_eq1,pct_libres_eq2,equipo1_gana
0,0,0,0,1,0,2.0999999999999943,-3.200000000000003,5.01,4.6899999999999995,21.00999999999999,0,132,109,33,20,240,239,0.4059090909090909,0.4455833333333334,0.32245454545454544,0.3196666666666667,0.22727272727272727,0.36116666666666664,1
0,0,0,0,1,1,-0.6999999999999886,3.200000000000003,-3.7800000000000002,-3.7,32.39,0,110,103,22,17,240,239,0.3978,0.3783333333333333,0.1309,0.24644444444444444,0.4617,0.5701111111111111,1
0,0,0,0,0,1,-1.5,-1.2000000000000028,-0.33000000000000007,0.050000000000000044,-37.67999999999999,0,109,115,22,32,241,241,0.4944,0.43674999999999997,0.1404,0.20716666666666664,0.5277999999999999,0.6204166666666667,0
0,0,0,0,1,1,6.099999999999994,-0.09999999999999432,5.98,5.54,-40.08,0,120,116,25,21,241,240,0.4757777777777778,0.42939999999999995,0.21288888888888888,0.27240000000000003,0.6444444444444444,0.5083,1
0,0,0,0,1,1,4.099999999999994,3.3000000000000114,0.68,0.8099999999999999,13.359999999999971,0,97,116,24,28,240,239,0.40358333333333335,0.2776666666666667,0.31075,0.26666666666666666,0.4000000000000001,0.3110666666666667,0
0,0,0,0,0,1,-4.0,4.799999999999997,-8.71,-8.41,20.89999999999999,0,109,124,18,27,240,239,0.42346153846153844,0.3553571428571428,0.17223076923076922,0.2547857142857143,0.4423076923076923,0.2978571428571429,0
0,0,0,0,0,1,-11.200000000000003,2.5999999999999943,-13.829999999999998,-13.21,16.35000000000001,0,106,136,25,29,238,241,0.5200769230769231,0.6117692307692308,0.22176923076923077,0.4217692307692308,0.47438461538461535,0.3856923076923077,0
0,0,0,0,1,1,8.0,-5.799999999999997,13.62,14.07,-48.23000000000001,0,105,110,19,20,239,241,0.3709,0.441,0.3082,0.3083,0.3917,0.4083,0
0,0,0,0,1,0,-3.6999999999999886,4.300000000000011,-7.869999999999999,-6.76,-19.430000000000007,0,123,111,29,26,241,242,0.42849999999999994,0.4176153846153846,0.21291666666666664,0.23392307692307693,0.46725,0.3490769230769231,1
0,0,0,0,0,1,-6.5,7.400000000000006,-14.19,-13.3,-20.109999999999985,0,124,126,21,28,240,239,0.4175,0.5073636363636363,0.1738,0.32427272727272727,0.6535,0.5535454545454546,0
0,0,0,0,0,1,-1.1000000000000085,-9.0,7.66,7.39,-12.990000000000009,0,113,116,27,25,266,264,0.501,0.5345454545454545,0.28650000000000003,0.2711818181818182,0.3903,0.4540909090909091,0
0,0,0,0,0,1,-3.299999999999997,3.0,-6.279999999999999,-6.23,22.630000000000003,0,104,140,21,38,240,240,0.3609166666666666,0.5715714285714285,0.21133333333333335,0.30992857142857144,0.397,0.5690714285714286,0
0,0,0,1,0,1,-13.799999999999997,8.0,-21.549999999999997,-20.42,-10.329999999999984,-1,102,122,27,21,240,240,0.3618571428571428,0.33314285714285713,0.06271428571428572,0.17935714285714285,0.30357142857142855,0.4015,0
0,0,0,0,1,1,0.3999999999999915,-1.2000000000000028,1.5599999999999998,1.7100000000000002,31.929999999999993,0,120,109,27,30,240,240,0.3870769230769231,0.3822307692307692,0.2522307692307692,0.26469230769230767,0.3538461538461538,0.35623076923076924,1
0,0,0,0,1,1,-0.3999999999999915,8.5,-8.979999999999999,-8.729999999999999,-4.340000000000003,0,87,102,29,23,241,240,0.2397857142857143,0.2716923076923077,0.08571428571428573,0.14746153846153848,0.2857142857142857,0.18461538461538465,0
0,2,0,-1,1,1,0.10000000000000853,4.700000000000003,-4.52,-4.57,-6.239999999999995,1,115,117,21,24,241,240,0.40709999999999996,0.414,0.2333,0.31,0.5782,0.46299999999999997,0
0,2,1,-1,1,0,0.9000000000000057,-6.200000000000003,6.99,6.25,-3.4099999999999966,2,116,101,28,22,240,239,0.5579999999999999,0.3831818181818182,0.5272727272727273,0.3,0.5722727272727273,0.3674545454545454,1
2,0,-1,-1,1,0,-1.4000000000000057,-3.4000000000000057,1.9400000000000004,1.8899999999999997,-14.359999999999985,0,115,107,25,19,239,238,0.3981818181818182,0.31975000000000003,0.17427272727272727,0.14725000000000002,0.729181818181818,0.45808333333333334,1
2,2,1,1,1,0,7.299999999999997,-0.8999999999999915,7.9799999999999995,7.6899999999999995,-63.28,0,125,120,25,22,240,240,0.5435555555555556,0.3673,0.3174444444444445,0.2732,0.6804444444444445,0.4333,1
0,0,1,-1,1,1,6.700000000000003,-0.8999999999999915,7.639999999999999,7.08,-3.25,2,113,101,28,25,240,238,0.4499166666666667,0.2656923076923077,0.24458333333333335,0.21153846153846154,0.26733333333333337,0.3013076923076923,1
0,2,-1,1,1,1,2.0,0.0,1.8699999999999997,1.91,-37.05999999999999,-2,123,98,19,28,240,241,0.397,0.5072666666666666,0.3236666666666667,0.043333333333333335,0.3875,0.30666666666666664,1
2,2,-1,1,1,1,-2.4000000000000057,-2.200000000000003,-0.33999999999999986,0.17999999999999972,-30.369999999999997,-2,128,108,20,24,240,240,0.39653846153846156,0.35625,0.27992307692307694,0.2945,0.35892307692307696,0.49583333333333335,1
0,2,1,-1,1,1,1.8000000000000114,-2.1999999999999886,4.04,3.95,-17.940000000000012,2,122,133,24,30,241,239,0.34561538461538466,0.3699090909090909,0.27692307692307694,0.3559090909090909,0.34615384615384615,0.4848181818181818,0
2,2,-1,1,1,1,-3.799999999999997,8.700000000000003,-12.64,-12.07,12.670000000000009,-2,86,127,18,35,242,241,0.38375000000000004,0.446,0.1995,0.25735714285714284,0.4559166666666667,0.17857142857142858,0
3,2,1,1,1,1,-0.29999999999999716,-4.599999999999994,4.22,4.0,25.48999999999998,0,123,116,33,35,241,239,0.577777777777778,0.4747,0.42,0.3667,0.5247777777777778,0.5357000000000001,1
2,0,-1,1,1,1,1.2999999999999972,-5.200000000000003,6.449999999999999,5.92,5.799999999999997,-2,103,105,26,25,240,238,0.4766666666666667,0.32320000000000004,0.2806666666666667,0.14589999999999997,0.2862222222222222,0.4488,0
2,0,-1,-1,1,1,4.800000000000011,5.700000000000003,-0.77,-0.8699999999999997,2.7199999999999847,0,104,109,20,30,240,242,0.3236666666666667,0.3136,0.37033333333333335,0.1686,0.6666666666666666,0.2757,0
0,0,0,-1,1,1,-6.200000000000003,3.6999999999999886,-9.67,-9.209999999999999,13.250000000000028,1,106,114,20,33,241,242,0.41479999999999995,0.4549,0.2166,0.3412,0.4042,0.348,0
3,2,-2,2,1,1,-5.599999999999994,2.0,-7.209999999999999,-6.549999999999999,-21.629999999999995,-4,118,124,27,19,240,239,0.5481111111111111,0.40825,0.2675555555555556,0.412625,0.6258888888888889,0.52225,0
2,3,-1,2,0,1,-14.900000000000006,6.8999999999999915,-21.979999999999997,-20.950000000000003,14.550000000000011,-3,116,135,25,27,239,239,0.40358333333333335,0.4042307692307693,0.26508333333333334,0.3800769230769231,0.65,0.5049230769230769,0
0,2,0,1,0,1,-6.200000000000003,8.099999999999994,-14.43,-14.53,19.890000000000015,-1,95,114,23,21,238,241,0.37071428571428566,0.38838461538461544,0.30271428571428566,0.20292307692307693,0.3826428571428572,0.40707692307692306,0
0,3,0,2,1,0,8.299999999999997,3.4000000000000057,4.97,5.49,8.749999999999986,-2,124,111,38,21,241,240,0.5381666666666667,0.4306,0.4110833333333333,0.24233333333333332,0.5046666666666667,0.3247333333333334,1
0,0,0,0,1,1,6.099999999999994,-3.299999999999997,9.29,9.55,-9.460000000000008,0,112,101,29,29,239,241,0.4473333333333333,0.4187272727272727,0.37377777777777776,0.18581818181818183,0.5885555555555555,0.4090909090909091,1
0,0,-1,0,1,1,-0.8999999999999915,6.400000000000006,-7.27,-7.42,10.410000000000018,-1,109,106,23,21,241,240,0.4547,0.3536,0.24000000000000005,0.2021,0.6875,0.4417,1
0,0,0,1,1,1,1.4000000000000057,3.299999999999997,-1.8,-1.8099999999999998,-22.44999999999999,-1,114,102,26,22,239,239,0.44527272727272726,0.28123076923076923,0.3060909090909091,0.10784615384615384,0.4040909090909091,0.22438461538461538,1
1,0,2,-1,1,0,-0.7999999999999972,-1.5,0.74,0.87,38.629999999999995,3,131,127,32,32,240,240,0.5236666666666667,0.3912222222222222,0.37155555555555553,0.29,0.4187777777777778,0.5015555555555555,1
0,2,0,-2,1,1,4.599999999999994,-3.9000000000000057,8.46,7.97,10.219999999999999,2,114,118,28,15,263,265,0.5651818181818182,0.46811111111111114,0.357,0.2718888888888889,0.5006363636363637,0.48711111111111116,0
0,4,-2,0,1,1,-7.400000000000006,2.3999999999999915,-9.59,-9.07,9.120000000000005,-2,115,102,23,20,241,238,0.38571428571428573,0.4246923076923077,0.23042857142857143,0.18530769230769228,0.2435,0.4143076923076923,1
2,2,-2,2,1,1,1.2999999999999972,-5.200000000000003,6.449999999999999,5.92,5.799999999999997,-4,125,103,25,24,241,241,0.3769166666666666,0.43175,0.32525,0.15691666666666668,0.5555833333333333,0.41391666666666665,1
0,0,2,2,1,0,5.700000000000003,-8.200000000000003,14.0,14.11,29.00999999999999,0,128,104,26,24,239,240,0.4651428571428572,0.3856363636363636,0.29464285714285715,0.26836363636363636,0.29707142857142854,0.4646363636363636,1
0,1,2,0,0,1,-0.09999999999999432,1.4000000000000057,-1.3600000000000003,-1.2799999999999998,-9.31000000000001,2,104,112,19,27,242,240,0.32707692307692315,0.42610000000000003,0.19030769230769232,0.30360000000000004,0.4359230769230769,0.4417,0
3,3,1,-1,1,1,-7.099999999999994,-4.700000000000003,-2.35,-2.38,-25.409999999999982,2,119,115,26,25,241,241,0.3519,0.4429090909090909,0.22949999999999998,0.3024545454545455,0.4015000000000001,0.4894545454545455,1
3,0,1,-2,1,1,7.799999999999997,-3.3999999999999915,11.309999999999999,10.73,-35.7,3,119,121,32,24,240,240,0.4833,0.5164444444444444,0.3227,0.3592222222222222,0.5413,0.586,0
6,1,3,-1,1,0,4.699999999999989,-2.3000000000000114,6.629999999999999,6.159999999999999,15.069999999999993,4,119,108,24,18,242,241,0.28584615384615386,0.38361538461538464,0.20484615384615387,0.2243076923076923,0.20876923076923076,0.329,1
5,3,0,-3,1,1,-1.5,-0.19999999999998863,-1.3399999999999999,-1.6199999999999999,25.62999999999998,3,106,98,24,14,241,240,0.388,0.3752222222222222,0.23700000000000002,0.21888888888888888,0.43179999999999996,0.5185555555555555,1
3,2,0,3,0,1,-3.200000000000003,2.0999999999999943,-5.4399999999999995,-5.220000000000001,3.8700000000000045,-3,104,110,22,21,240,240,0.3507777777777778,0.3641,0.26666666666666666,0.265,0.3015555555555556,0.49640000000000006,0
3,0,-1,-2,0,1,-9.400000000000006,-1.2000000000000028,-8.18,-8.370000000000001,12.830000000000013,1,125,127,30,29,266,265,0.4083636363636364,0.46011111111111114,0.16836363636363635,0.34444444444444444,0.5227272727272727,0.6111111111111112,0
2,3,1,-1,1,1,3.6000000000000085,-2.5999999999999943,6.41,6.62,-3.480000000000018,2,123,126,37,36,239,241,0.45709999999999995,0.3774545454545455,0.27999999999999997,0.44245454545454543,0.29,0.2778181818181818,0
