delta_ws_total,delta_ws_of,delta_ws_def,delta_per,delta_usg,delta_bpm,delta_rating_of_jug,delta_rating_def_jug,delta_efg,delta_faltas_cometidas,delta_perdidas_balon,delta_puntos,delta_asistencias,delta_rebotes_totales,delta_robos,delta_tapones,delta_tiros_libres,delta_real_puntos,delta_real_asistencias,delta_real_reb_def,delta_real_robos,delta_real_tapones,equipo1_gana
0.9337581699346398,0.6980718954248362,0.11154901960784303,3.2064705882352946,2.705032679738558,1.8519607843137256,1.5751633986928226,-3.0686274509803866,0.004375816993464121,0.196078431372549,0.2222222222222222,-0.04248366013072058,-0.11764705882352944,0.13725490196078427,-0.15359477124182996,0.09150326797385616,-66.10500367647059,2.916666666666666,1.3333333333333333,0.21969696969696972,0.3787878787878788,0.022727272727272707,1
1.1691478696741853,0.6677418546365912,0.43408771929824597,1.4368170426065188,-0.3703759398496267,0.8550501253132834,-8.012531328320804,3.6140350877193015,-55.49430952380952,-0.05012531328320802,-0.20050125313283218,0.45112781954887193,0.010025062656641603,0.3333333333333335,0.05012531328320807,0.02756892230576441,-117.58551470588235,-0.44444444444444464,0.31111111111111134,-0.7888888888888888,0.25555555555555554,0.6888888888888889,1
-1.8839999999999995,-1.0111000000000006,-0.8065,-5.505999999999997,-3.785499999999999,-3.5321,-0.7000000000000028,0.29999999999999716,62.458915789473686,-0.19999999999999996,-0.2500000000000001,1.200000000000001,0.19999999999999973,0.6499999999999999,0.0,-0.10000000000000003,-52.630263157894746,1.3166666666666664,-0.46666666666666634,-0.06666666666666643,-0.2333333333333334,-0.4666666666666666,0
-1.8220433436532506,-1.391569659442725,-0.5579442724458203,-1.6757275541795664,0.13811145510836198,-1.2618359133126937,13.541795665634666,-0.49845201238389336,0.07981114551083607,-0.15170278637770895,0.015479876160990669,0.4922600619195041,0.32507739938080515,0.8080495356037156,0.15170278637770895,0.3777089783281734,117.52972445820433,1.7333333333333343,0.6777777777777776,0.5666666666666664,0.5333333333333332,0.4,1
0.18866873065015355,-0.23099690402476813,0.6674396284829713,0.6661300309597458,-0.1131888544891666,-0.163625386996904,-3.941176470588232,0.9287925696594499,0.021281733746130127,0.2321981424148607,0.13003095975232193,-0.48606811145510775,0.03405572755417996,-0.003095975232198178,0.07120743034055732,-0.14860681114551083,55.48052777777779,0.35000000000000053,0.1333333333333333,0.06666666666666643,-0.11666666666666664,0.1333333333333333,0
-0.025845410628019927,-0.05638405797101509,-0.04388405797101447,-1.3409903381642536,-2.5193236714975917,-1.01518115942029,5.765700483091791,5.485507246376812,0.014939613526570028,-0.25120772946859904,0.048309178743961345,1.3091787439613523,0.34782608695652195,0.07246376811594235,0.24637681159420288,0.08212560386473433,0.03491062801932365,-0.4725274725274726,-0.543956043956044,-0.25274725274725274,0.02197802197802201,-0.48901098901098905,0
0.22129411764705909,0.2677941176470593,0.09575,1.3132941176470592,2.632617647058815,1.2513264705882354,-7.917647058823533,1.711764705882345,-0.03376764705882351,-0.2617647058823531,-0.45882352941176463,0.07941176470588296,0.35882352941176454,0.4117647058823528,0.16176470588235292,0.11470588235294116,-9.832305921052644,-2.3076923076923084,-0.3076923076923077,-0.3076923076923075,-0.15384615384615385,-0.23076923076923073,0
-1.1444886363636368,-0.8834261363636362,-0.2653295454545459,-2.917500000000004,-3.9127840909090885,-2.288931818181818,12.357954545454547,-5.994318181818187,0.05057386363636357,0.28409090909090917,0.4943181818181819,0.028409090909091717,-0.6079545454545454,0.26704545454545414,-0.17613636363636365,-0.125,-0.028818181818181854,-0.5,-0.10000000000000009,-1.3999999999999995,0.20000000000000007,-0.6,0
-0.7717894736842106,-0.35948947368421047,-0.4293947368421054,-0.18742105263158138,0.055184210526316946,-1.0771631578947365,-9.84210526315789,2.881578947368425,-0.044707894736842224,-0.594736842105263,-0.5736842105263157,3.1421052631578954,0.37368421052631584,0.8078947368421052,0.5026315789473683,0.12368421052631579,-157.79415789473686,1.7115384615384617,0.4166666666666665,-0.0064102564102563875,0.9423076923076923,0.6794871794871795,1
-0.6069999999999993,-0.4833555555555562,-0.12811666666666666,-1.9379444444444403,-2.460777777777782,-1.3432999999999997,-0.51111111111112,5.327777777777769,0.002083333333333326,-0.3388888888888888,-0.5,1.761111111111111,0.37222222222222223,0.9388888888888891,0.4444444444444444,0.02777777777777779,-52.59547953216374,0.9454545454545453,-0.4454545454545453,0.9545454545454546,0.0636363636363636,0.4454545454545455,0
